home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,League_21518,League_24558,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,B365_Win,B365_Draw,B365_Lose,BW_Win,BW_Draw,BW_Lose,label
9,-7,6,4,0,0,1,0,81.0,81.0,79.0,85.0,82.0,79.0,76.0,81.0,83.0,79.0,83.0,70.0,76.0,75.0,71.0,76.0,73.0,77.0,74.0,75.0,73.0,78.0,0.7784120394395433,0.15827711468604044,0.06331084587441618,0.7612985359643539,0.16549968173138127,0.0732017823042648,Win
-4,-5,2,1,0,0,1,0,79.0,75.0,76.0,78.0,74.0,76.0,75.0,73.0,78.0,72.0,75.0,77.0,76.0,74.0,74.0,73.0,75.0,63.0,73.0,74.0,70.0,62.0,0.5198860435545397,0.2798210175602376,0.20029293888522268,0.5052005943536404,0.274888558692422,0.21991084695393762,Draw
-8,0,1,3,0,0,1,0,70.0,77.0,70.0,76.0,75.0,80.0,78.0,76.0,72.0,73.0,74.0,79.0,70.0,77.0,83.0,79.0,81.0,80.0,80.0,81.0,75.0,82.0,0.3067869752844252,0.27971753628874063,0.41349548842683403,0.32114989733059546,0.2739219712525667,0.40492813141683776,Lose
2,-11,4,1,0,0,1,0,76.0,77.0,75.0,80.0,64.0,78.0,78.0,81.0,78.0,79.0,77.0,72.0,56.0,70.0,76.0,77.0,72.0,78.0,76.0,75.0,72.0,74.0,0.6043404859191113,0.24968804286658017,0.14597147121430842,0.5931229795078682,0.2516765075209062,0.1552005129712255,Win
16,-3,7,3,0,0,1,0,81.0,76.0,84.0,75.0,81.0,87.0,87.0,87.0,87.0,86.0,93.0,77.0,76.0,73.0,75.0,74.0,76.0,67.0,76.0,77.0,74.0,74.0,0.8677685950413222,0.08677685950413223,0.04545454545454545,0.8551239929789819,0.094918763220667,0.049957243800351055,Win
-1,-4,3,1,0,0,1,0,79.0,65.0,76.0,80.0,71.0,77.0,79.0,82.0,77.0,79.0,77.0,71.0,73.0,72.0,73.0,70.0,72.0,74.0,73.0,76.0,71.0,72.0,0.5155482815057284,0.27250409165302786,0.2119476268412439,0.49199304051414977,0.29212086780527646,0.2158860916805738,Win
0,15,3,8,0,0,1,0,74.0,76.0,80.0,81.0,80.0,82.0,77.0,79.0,75.0,77.0,80.0,83.0,84.0,85.0,83.0,84.0,84.0,86.0,88.0,94.0,90.0,89.0,0.10612244897959185,0.15918367346938778,0.7346938775510204,0.09514304723885564,0.17298735861610115,0.7318695941450433,Draw
7,0,5,4,0,0,1,0,76.0,74.0,75.0,77.0,75.0,75.0,72.0,76.0,74.0,73.0,78.0,75.0,77.0,79.0,74.0,73.0,79.0,82.0,81.0,79.0,82.0,79.0,0.31654676258992803,0.2877697841726619,0.3956834532374101,0.31924882629107976,0.28169014084507044,0.39906103286384975,Draw
-7,-1,2,1,0,0,1,0,76.0,74.0,71.0,76.0,73.0,71.0,73.0,76.0,69.0,77.0,72.0,75.0,73.0,72.0,72.0,69.0,69.0,71.0,74.0,76.0,67.0,76.0,0.41585886002326483,0.28984102365257847,0.29430011632415665,0.40639082343301924,0.29209340434248254,0.3015157722244981,Win
-4,5,4,5,0,0,1,0,70.0,73.0,72.0,76.0,71.0,75.0,71.0,79.0,74.0,74.0,79.0,76.0,76.0,78.0,77.0,71.0,77.0,79.0,71.0,80.0,82.0,78.0,0.28754298815437523,0.2711119602598395,0.44134505158578524,0.2920353982300885,0.2831858407079646,0.4247787610619469,Draw
